count,role
44,Program Committee DOCM 3AS
44,International Program Committ ee
44,YRT Program Committee
44,Program Committees of Special Sessions
43,Academic Program Committee
43,Program Committee for DNA 24
43,Workshop Technical Program Committee
43,5th International Conference on the Practice and Theory of Automated Timetabling Programme Committee
42,SeCoGIS 2009 Program Committee
40,Multi-disciplinary Track Program Committee
40,Program Committee: TACAS
39,RIGiM 2013 Program Committee
39,MOST-ONISW 2009 Program Committee
39,Poster and Demo Program Committee
38,Programme Chairs
38,Senior Programme Committee
37,SeCoGIS 2010 Program Committee
37,TACAS ProgramCommittee
36,Technical Program Co-chairs
36,Nectar Track Programme Committee
36,Program Executive
36,Program Committee for DNA 22
36,Foreword from the DPM 2015 Program Chairs
35,RIGiM 2009 Program Committee
35,ICWS 2018 Program Committee
34,Program Committee DART 2020
34,MoKMaSD 2012 Program Committee
34,Program Vice Chairs
34,Foreword from the DPM 2014 Program Chairs
33,Program Board
32,Program Committee and Jury: SV-COMP
32,Research Track ProgramCommittee
32,Program Committee – PhD Symposium
32,Program Committee AOSE
31,Out of 59 submissions, in order to comply with the intended spirit and the novelty of ETAPS as an event of federated conferences, after some discussion within the PC, three rerouted to ESOP and two to FoSSACS. Then, after a rigorous refereeing process, followed by an intensive, ten-days-long, electronic selection meeting, 18 were selected for presentation and are included in this volume,which also includes two invited papers and three presentations of demos. The first invited paper is by Kent Beck, one of the two invited speakers on behalf of the overall ETAPS'98 (the other being Amir Pnueli). His contribu- tion is a much shortened version of a manifesto he had in mind on what he calls Extreme Programming, a discipline of software development emphasizing productivity, flexibility, informality, teamwork and limited use of technology outside programming. Following the author's rather dialecticM wishes, I wel- come its inclusion in these proceedings, because, first of all, a much broader and more dialectical view of the software production process is very well in the spirit
31,OAMAS 2008 Program Committee
31,Program Committee ITMAS
30,Chairs of Program Policy Committees:
30,Industrial Program Co-chairs
30,Special Track Program Committee
30,Foreword from the DPM 2017 Program Chairs
30,RIGiM 2008 Program Committee
30,Program Committee (continued)
29,ETheCoM 2009 Program Committee
29,Vision/Challenge Program Committee
29,MoBiD 2014 Program Committee
29,Empirical Results Program Committee
28,Foreword from the DPM 2012 Program Chairs
28,Workshop Program Committee
28,WISQ Program Committee Members
28,CMNA XV Program Committee
27,Foreword from the Program Chairs
27,FP-UML 2008 Program Committee
27,ICWS 2019 Program Committee
27,Program Chair and Co-chairs
27,Other ProgramCommitee Members
26,eCOMO 2002 Program Committee Members
26,Research Track Program Chairs
26,CyberICPS 2017 Technical Program Committee
26,Scientiﬁc Programme Committee
26,Short Papers Program Committee
26,MBC Program Committee
25,Program Committee Member
25,USEC 2013 Program Committee
25,CoMoL 2009 Program Committee
25,International Program Committee MCV 2016
25,Program Committee UNSURE 2020
25,Foreword from the SETOP 2014 Program Chairs
24,Program Committee ASMUS 2020
24,DE@ER 2010 Program Committee
24,ss Programme Committee
24,Industrial Program Committee
24,Program Committee MLCN 2020
24,IWEC-14 and IWEC-15 Program Committee
24,Doctoral Program Chairs
24,Technical Program Chairs
24,QoIS 2009 Program Committee
23,QMMQ 2014 Program Committee
23,CONCUR2002 Program Committee
23,FP-UML 2009 Program Committee
23,SV-COMP ProgramCommittee
23,Program Chairs:
23,Conference Program Chairpersons
23,VAAM Program Committee
23,The 1st International Conference on the Practice and Theory of Automated Timetabling Programme Committee
22,Programme Chair
22,ProgramCommittee (Reviewers)
22,C-SmartCPS 2013 Program Committee
22,CMLSA 2008 Program Committee
22,WAHC 2013 Program Committee
22,FP-UML 2010 Program Committee
22,General Track Programme Committee
22,HetNets 2012 Technical Program Committee
22,Industry Program Committee Members
22,IWPEC 2009 Program Committee
22,Program Co-Chairs
21,Programe Committee Board
21,Program Committee AMEC VII 2005
21,M2AS 2008 Program Committee
20,MobIMod 2002 Program Committee
20,Programe Committee
20,International Workshop on XML Research and Applications (XRA 2006) Program Chairs’ Message
20,SECPRE 2017 Technical Program Committee
20,Program Co-chair
20,Special Area Program Committee
20,ProgramCommittee Board
20,IWPEC 2004 Program Committee
19,Program Committee: MDE in Practice Track
19,Program Chair:
19,ISSE Program Committee
19,WISM 2008 Program Committee
19,Workshops Program Committee
18,CONCUR’99 Program Committee
18,Conference Founder and Honorary Programme Committee Chair
18,Program Committee for Mobile Database Technology
18,General and Program Chairs
18,Program Committee AMPLE
18,BITCOIN 2014 Program Committee
18,Doctoral Symposium Programme Committee
17,Tutorial Programmme Committee
17,Poster Programme Committee
17,WAHC 2014 Program Committee
17,Poster/Demo Track Program Committee
17,ASCoMS Program Committee
17,Doctoral Consortium Program Committee
17,Tutorials Program Committee
16,FFER Program Committee
16,Tools for ProgramDevelopment andAnalysis inComputational Science
16,BDC 2013 Program Committee
16,SASSUR Program Committee
16,SUNSET 2011 Technical Program Committee
16,Program Committee of SAS’98
16,WoLLIC 2008 Programme Committee
16,CMS 2010 Program Committee
16,Program Committee iMIMIC 2020
16,Program Committee for SV-COMP 2014
16,TIBiDa 2013 Program Committee
15,I-Day Program Committee
15,TACAS’99 Program Committee
15,Conference Program Chairs
15,DECSoS Program Committee
15,WWWCM'99 Program Committee
15,Program Committee TADA 2005
15,CC 2000 Program Committee
15,Program and Review Committee
15,SSWS Program Committee Members
15,Applied Data Science Track Program Chairs
15,ALA 2009 Program Committee
15,ECDM'99 Program Committee
15,Program Committee DCL 2020
14,Computational Sustainability Track Program Committee
14,PE-CRN 2011 Technical Program Committee
14,CP and Biology Track Program Committee
14,WCNS 2011 Technical Program Committee
14,WISE Challenge Program Chairs
14,Young Investigators Early Career Development Program Chairs
14,AI Mashup Challenge Program Committee
13,DEVVARTS Program Committee
13,RAMBO: Program Committee
13,Demo/Poster Program Committee
13,ProgramCommittee Chairs
13,ProgramCommittee Co-chairs
12,Industrial Program Chairs
12,Program Committee for Competition on Software Veriﬁcation
12,ENMO 2014 Program Committee
12,WBL Program Committee Members
12,WoLLIC 2009 Program Committee
12,ETICS 2012 Technical Program Committee
12,Conference Founder and Honorary ProgramCommittee Chair
12,REIS'99 Program Committee
12,Program Committee (GCSE Focus)
12,Workshop on Tools for Program Development and Analysis in Computational Science
12,CMLSA 2010 Program Committee
12,Industry Program Chairs
11,Program Committee of the Competition on Software Veriﬁcation
11,Program Committee Vice Chairs:
11,ProgramCo-chairs
11,Vision Program Committee
11,Test and Veriﬁcation and CP Track Program Committee
11,Program Committee BAMBI 2016
11,DS Program Committee
11,Advisory Program Chair
11,Test-Comp – Program Committee and Jury
11,Program Committee (SAIG Focus)
11,Program Committee for IMDM 2014
11,Industry and Innovation Track Program Committee
11,Industry Track Program Chairs
10,ProgramChair:
10,NC-Pro 2011 Technical Program Committee
10,Local (Singapore) Program Committee Members
10,Program Coordinator
10,Program Committee for IMDM 2013
10,Program Committee (Continued)
10,ACM-L 2010 Program Committee
10,OpenCert 2012 Program Committee
10,Program Chair and Co-chair
10,Conference Program Co-chairs
9,ALENEX 2002 Program Committee
9,QUAT Program Committee Co-chairs
9,Research Methodology Track Program Committee
9,CompNets 2012 Technical Program Committee
8,Program and Workshop Committee
8,July1996 Eugene C. Freuder, Program Chair Durham, New Hampshire, USA
8,Program Committee (Application Track)
8,Resource Track Program Chairs
8,Published Journal Track Program Committee
8,PAPP 2007 - Practical Aspects of High-Level Parallel Programming (4th International Workshop)
8,In-Use Track Program Chairs
7,Program Committee ARMS
7,Tutorial Program Committee
7,Constraint Programming
7,HVSMR: Program Committee
7,Program Committee Chairs UNSURE 2020
7,ProgramChairs:
7,IPCO VI Program Committee
7,Program Committee(continued)
7,Program and General Chairs
7,Journal Presentation Track Program Committee
6,Scientiﬁc Program Co-chairs
6,Topic 9: Parallel and Distributed Programming Global Chair
6,Satisﬁability and CP Track Program Committee
6,Program Chairmanship
6,Programming Grids and Metacomputing Systems - PGaMS2005
6,Industrial Program Chair
6,Program Committee Co-Chairs
6,Machine Learning and CP Track Program Committee
6,Operations Research and CP Track Program Committee
6,Music Track Track Program Committee
6,Conference Program Chair
6,General and Programme Chairs
6,Programme Co-chairs:
6,Demonstrations and Posters Program Committee
6,Technical Program Vice-chairs
6,Program Co-Chairs:
6,Tools for Program Development and Analysis
6,Workshop Program Chairs
5,Technical Program Committee Co-chairs
5,Biology and CP Track Program Committee
5,BSI-UCBCN 2013/Program Chairs
5,BSIC 2013/Program Chairs
5,DE@ER 2010 Program Chairs
5,Industry Program Committee
5,International Workshop on DataBase and Information Retrieval and on Aspects in Evaluating Holistic Quality of Ontology-Based Information Retrieval (DBIR-ENQOIR 2009) Program Co-chairs
5,Journal and Sister Conferences Track Program Committee
5,Logic Programming
5,Program co-chair:
5,Technical Programme Committee Co-chairs
5,Topic 11: Multicore and Manycore Programming Global Chair
4,Program co-chairs:
4,Practical Aspects of High-Level Parallel Programming (PAPP 2004)
4,Program and Conference Chairs
4,Workshops Organization and Program Chairs
4,Doctoral Program Co-chairs
4,Program Chair Support
4,Program Chair Local Arrangements
4,CoreGRID/ERCIMWorkshop on Grids, Clouds and P2P Computing Program Chairs
4,Third Workshop on UnConventional High-Performance Computing 2010 (UCHPC 2010) Organizers and Program Chairs
4,Tutorial ProgramCo-chairs:
4,Technical Programme Co-chairs
4,General Chairs and Program Co-chairs
4,Industrial Program Chair:
4,SSPR Programme Chair
4,SPR Programme Chair
4,Joint Workshop for Tools for Program Development and Analysis in Computational Science and Software Engineering for Large-Scale Computing
4,Conference and Program Chairs
4,RIGiM 2009 Program Chairs
4,Special Area Program Committee Co-chairs
4,Computing in Science and Engineering Academic Programs
4,Programme Co-chairs
4,MOST-ONISW 2009 Program Chairs
3,Workshop on Cloud Computing Projects and Initiatives (CCPI) Program Chairs
3,Programming Contest
3,Conference Program Chairpersons:
3,WISM 2010 Program Chairs
3,CoMoL 2009 Program Chairs
3,Program and Publication Co-chairs
3,Answer Set Programming Challenge 2019
3,ACM-L 2010 Program Chairs
3,Scientiﬁc Program Chair
3,Scientiﬁc Program Chair:
3,Practical Aspects of High-Level Parallel Programming (PAPP)
3,MLG Program Chairs
3,LNCS Program Chairs
3,ProgramChair
3,SSWS Program Chairs
3,Programme Chairs FLoC Representative
3,Industry ProgramChairs
3,Industrial Programme Committee Chairs
3,Industrial Program Vice Chairs
3,General and Program Co-chair
3,Foundations Track Program Chair
3,Program Co-charis
3,2nd International Workshop on Active and Programmable Grids Architectures and Components (APGAC2005)
3,Tutorial Program Co-chairs
2,SeCoGIS 2010 Program Chairs
2,Program Committee Co-chairs:
2,SECPRE 2017 Program Committee Chairs
2,WISQ Program Chairs
2,Senior Program Chair
2,MoKMaSD 2012 Program Co-chairs
2,Evolution-Based Scheduling of Fault-Tolerant Programs on
2,QoIS 2009 Program Chairs
2,MBC Program Chairs
2,Session 7: Database Programming Languages
2,Euro-Par 2010 Workshop Program Committees
2,Demonstrations Program and Posters Chairs
2,Software for the Program Committee Work
2,Learning Recursion Through the Use of a Mental Model-Based Programming Environment
2,WISE Challenge Program/Track Co-chairs
2,Conference and Program Co-chairs
2,Programme Co-Chairs
2,SRL Program Chairs
2,JFT Program Committee
2,Program Synthesis in the Presence of Infinite Number of Inaccuracies
2,Electronic Programme Chair
2,Declarative Programming
2,Program Committee Chairs:
2,InSuEdu 2012 Program Co-chairs
2,Programme Committee Co-chairs
2,Industrial Track Program Chairs
2,Deputy Program Chairs
2,ECDM 2002 Program Committee Co-chairs
2,Conference and Programme Co-chairs
2,Tal Rabin (CRYPTO 2010 Program Chair)
2,Technical Program Chair
2,Implementing a Non-strict Functional Programming Language on a Threaded Architecture 138
2,Technical Program Chairs:
2,Program Committee Chairpersons
2,Conference and Technical Program Committee Co-chairs
2,Program Vice-Chair:
2,Doctoral Programme Chairs
2,Programming Environments for Novices
2,5th Workshop on Virtualization in High-Performance Cloud Computing (VHPC 2010) Program Chairs
2,From Specifications to Programs: Induction in the Service of Synthesis
2,From Elementary Knowledge Schemes Towards Heuristic Expertise - Designing an ITS in the Field of Parallel Programming
2,FP-UML 2010 Program Chairs
2,FP-UML 2009 Program Chairs
2,FP-UML 2008 Program Co-chairs
2,Program Committee Co-chairs: Jean-Marc Champarnaud
2,The Advantages of Data Flow Diagramsf or Beginning Programming
2,Program and Conference Co-chairs
2,Best Paper (Technical Program)
2,Best Paper (Applications Program)
2,Applications Track Program Chair
2,Program chair
2,Tutorial ProgramCo-Chairs:
2,FM Program Chairs
2,ProgramCommittee C-Chairs
2,Explanation-Based Reuse of Prolog Programs
2,Therapy Plan Generation as Program Synthesis
2,Scientific Program Co-chairs
2,CMLSA 2008 Program Chairs
2,Program and Conference Chair
2,Constructive Induction for Recursive Programs
2,CMLSA 2010 Program Chairs
2,SeCoGIS 2009 Program Chairs
2,Opencert 2012 Program Co-chairs
1,ProgramCo-chair, General Co-chair
1,ProgramCo-chair
1,Program Vice Chair
1,Program Vice-chair
1,Prolog Programming Contest Chair
1,Program Committee Co-chair
1,Program Committee Chairs: Paolo Ferragina (University of Pisa,
1,Rei Safavi-Naini (CRYPTO 2012 Program Chair)
1,Program Co-chair:
1,Program Co-Chair
1,Program co-chair
1,Program Chair iMIMIC 2020
1,Program Chair ASMUS 2020
1,Program Chair and Application Track Chair
1,Program Board Chair
1,Moti Yung (Crypto 2002 Program Chair)
1,MDE in Practice Track Program Chair
1,Social Program and Conference Management
1,Jelena Mirkovic (Program Chair)
1,IWCQM 2002 Program Committee Chair – Workshop General Chair
1,ILP Program Chair
1,- Java for Ada Programmers, Ben Brosgol
1,ETheCoM 2009 Program Chairs
1,Topic 10: Parallel Programming,Models,Methods andProgrammingLanguages Global Chair
1,Topic 10: Parallel Programming:Models,Methods and ProgrammingLanguages Global Chair
1,Doctoral Program:
1,Doctoral Program Chair:
1,Victor Shoup (Crypto 2005 Program Chair)
1,David Wagner (CRYPTO 2008 Program Chair)
1,WBL Program Chair
1,Conference and Programme Chair
1,Conference and Program Committee Chair
1,Conference and Program Chair
1,Chair of IA Program:
1,Workshop on High-Performance Bioinformatics and Biomedicine (HiBB) Program Chair
1,Workshop on High-Performance Computing applied to Finance (HPCF 2010) Program Chair
1,Chair of Doctoral Program:
1,Programme Chair & Local Arrangements
